Step,Loss_train
656,2.1723555356088216e-05
657,2.1856666740995048e-05
658,2.178096947432412e-05
659,2.1837592053969244e-05
660,2.1620420362209732e-05
661,2.178410755025508e-05
662,2.197009344613143e-05
663,2.1784425249389796e-05
664,2.1785031971500292e-05
665,2.170546607047067e-05
666,2.176602575387672e-05
667,2.1643657711324283e-05
668,2.183216320124193e-05
669,2.1632299295626967e-05
670,2.1519260746488798e-05
671,2.151370291936919e-05
672,2.1524338985366798e-05
673,2.149101800024992e-05
674,2.156439759859556e-05
675,2.1693739877853324e-05
676,2.144063880817342e-05
677,2.159338145476243e-05
678,2.16171316330099e-05
679,2.1379901028477564e-05
680,2.148896831254345e-05
681,2.1421134368275516e-05
682,2.1359061676622766e-05
683,2.156289755159839e-05
684,2.144285983999489e-05
685,2.1312659223845625e-05
686,2.143711495337586e-05
687,2.1432282313376758e-05
688,2.1337389153677198e-05
689,2.1360893898984217e-05
690,2.134445012773953e-05
691,2.1305246184922586e-05
692,2.1318222992765053e-05
693,2.122365573839483e-05
694,2.128930974926648e-05
695,2.127256414390111e-05
696,2.124844798413062e-05
697,2.1127172063576094e-05
698,2.115729686358747e-05
699,2.1201641033743203e-05
700,2.1160290599669163e-05
701,2.117779482036046e-05
702,2.1198977799074194e-05
703,2.1127484122545288e-05
704,2.1002200909432933e-05
705,2.1106651448763007e-05
706,2.1093051573714544e-05
707,2.117063628557416e-05
708,2.098122934548604e-05
709,2.1184418669323442e-05
710,2.0927214193889694e-05
711,2.1153375459060468e-05
712,2.1103502278706743e-05
713,2.1144825908179534e-05
714,2.095816915054892e-05
715,2.0874551433364032e-05
716,2.1081606717861048e-05
717,2.102350349762529e-05
718,2.0984057551948627e-05
719,2.101433423298339e-05
720,2.0829978480006075e-05
721,2.092439087944457e-05
722,2.0832873530370786e-05
723,2.0948166488709283e-05
724,2.082905898355433e-05
725,2.0924009252522615e-05
726,2.0898113210512388e-05
727,2.0976059102763696e-05
728,2.093680093132516e-05
729,2.0927760916109033e-05
730,2.0845132257470134e-05
731,2.0784812970899296e-05
732,2.0820628893630773e-05
733,2.079598138026468e-05
734,2.0798027148783675e-05
735,2.0834303076803113e-05
736,2.078522606801632e-05
737,2.0828037041011362e-05
738,2.0758424956540724e-05
739,2.074268631856505e-05
740,2.07094122465276e-05
741,2.067474646693253e-05
742,2.074560169084785e-05
743,2.0708795706022782e-05
744,2.0760597753158685e-05
745,2.0553600278735327e-05
746,2.0736725295850305e-05
747,2.0805275581199396e-05
748,2.0702902462513993e-05
749,2.082465719054439e-05
750,2.0777100221646043e-05
751,2.0670416530495896e-05
752,2.061614057480195e-05
753,2.0742280817882188e-05
754,2.0750007054701197e-05
755,2.0634564560803274e-05
756,2.057936388064643e-05
757,2.0540398305085474e-05
758,2.0642615122894583e-05
759,2.053667544448691e-05
760,2.061152621305626e-05
761,2.0685451065509314e-05
762,2.06824017611064e-05
763,2.0616173929855118e-05
764,2.0727547526387913e-05
765,2.0652382031958827e-05
766,2.0633219375388034e-05
767,2.0639737135055825e-05
768,2.056646982779655e-05
769,2.0652950410729058e-05
770,2.059776258700185e-05
771,2.052684652859464e-05
772,2.0515464113890893e-05
773,2.050152770379376e-05
774,2.0533508546409178e-05
775,2.0540583641865133e-05
776,2.0506172135708028e-05
777,2.065418234077821e-05
778,2.0569184741683566e-05
779,2.053963913541746e-05
780,2.0558572973318265e-05
781,2.0585978998523613e-05
782,2.0496797682157864e-05
783,2.0520201023397442e-05
784,2.053552133719497e-05
785,2.0579333247427165e-05
786,2.0486985259724006e-05
787,2.044260575908755e-05
788,2.0397965403210246e-05
789,2.046241047014962e-05
790,2.0338036342593093e-05
791,2.0532808660785255e-05
792,2.0537177519446666e-05
793,2.0459330420265647e-05
794,2.0460289056182192e-05
795,2.046941781569219e-05
796,2.031929527893454e-05
797,2.0409483908183968e-05
798,2.0353544483513712e-05
799,2.0434656842371117e-05
800,2.0334852799527283e-05
801,2.041287580676399e-05
802,2.0507582588293456e-05
803,2.0432364606013103e-05
804,2.0311083097386322e-05
805,2.0475161023134465e-05
806,2.0619193685972206e-05
807,2.0577412789829204e-05
808,2.047286202098456e-05
809,2.0477278214696734e-05
810,2.0480765588844782e-05
811,2.0480258751071547e-05
812,2.0396181224463068e-05
813,2.0265605097047026e-05
814,2.0434540277419677e-05
815,2.0388817641531174e-05
816,2.037973955104138e-05
817,2.040554122395102e-05
818,2.038550332946775e-05
819,2.0365665901613854e-05
820,2.0421034747562727e-05
821,2.0385041581667744e-05
822,2.0253928518125686e-05
823,2.027717009170379e-05
824,2.0401189637930373e-05
825,2.0332753678472033e-05
826,2.0283407268930977e-05
827,2.0221712869439055e-05
828,2.025774630090022e-05
829,2.0301557368773115e-05
830,2.038929784745015e-05
831,2.0268871447990382e-05
832,2.03798061222851e-05
833,2.0257344025883457e-05
834,2.0357368956711146e-05
835,2.029864474555839e-05
836,2.0203297106732875e-05
837,2.039953012091755e-05
838,2.0320470391690635e-05
839,2.027821547384428e-05
840,2.028981611549986e-05
841,2.0236361439855144e-05
842,2.0292838608967995e-05
843,2.015608211180085e-05
844,2.022299158146359e-05
845,2.0296941996512945e-05
846,2.0201045348430928e-05
847,2.025705996427728e-05
848,2.0221872752559104e-05
849,2.0292501370580982e-05
850,2.0201391686673447e-05
851,2.0317213541831816e-05
852,2.0132938142014712e-05
853,2.027444161361532e-05
854,2.014351795741173e-05
855,2.0287631530126846e-05
856,2.0190064926110232e-05
857,2.022195325091546e-05
858,2.0259933893432598e-05
859,2.0192091733786426e-05
860,2.012949806380789e-05
861,2.018590358155376e-05
862,2.0209177412426193e-05
863,2.0279646499630543e-05
864,2.0206699662583074e-05
865,2.0302914664686662e-05
866,2.013064129959805e-05
867,2.0197484527835568e-05
868,2.0076018668717863e-05
869,2.013124225487245e-05
870,2.0153023112665764e-05
871,2.0172864820084915e-05
872,2.0120204919464075e-05
873,2.0047669495131706e-05
874,2.019485915705871e-05
875,2.0136412623473677e-05
876,2.010171993889093e-05
877,2.0203558978346716e-05
878,2.009589958004547e-05
879,2.0076749445177326e-05
880,2.014608036958956e-05
881,2.0126352549939325e-05
882,2.0086018578322664e-05
883,2.0080465329077504e-05
884,2.0115346398608866e-05
885,2.0072734553968605e-05
886,2.0158673041641068e-05
887,2.000937039963161e-05
888,2.0057779703294782e-05
889,2.0156378306231022e-05
890,1.9863692888074864e-05
891,2.0111136314224998e-05
892,2.0108741964127668e-05
893,2.009476914716663e-05
894,1.9916315700185785e-05
895,2.0130575437076175e-05
896,1.9965415064586694e-05
897,2.0091379961870243e-05
898,1.9943621987358382e-05
899,2.013326771794053e-05
900,2.0029743360101597e-05
901,2.0032351642385038e-05
902,1.9929352577113208e-05
903,1.996831230967739e-05
904,1.9858787270309564e-05
905,2.0096814364035284e-05
906,2.003900921390418e-05
907,2.0061060055769738e-05
908,1.9942764098089007e-05
909,2.0047827094856372e-05
910,1.996032075437996e-05
911,1.99957911881951e-05
912,1.995187283604851e-05
913,1.999863760244394e-05
914,2.0041148628234804e-05
915,1.9881828137217565e-05
916,1.990298304462434e-05
917,1.9785379780370836e-05
918,1.992474070491926e-05
919,2.0068245072464006e-05
920,1.9861165601013098e-05
921,1.9958354767420225e-05
922,1.9756775853740268e-05
923,1.995964708639753e-05
924,1.9842064626835327e-05
925,1.998126774027757e-05
926,1.9863663688924805e-05
927,1.9847181530638504e-05
928,1.990558237224842e-05
929,1.9858046079154068e-05
930,1.9853775064483694e-05
931,1.9909351358352134e-05
932,1.982816669545763e-05
